date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019/6/20,2917.33,2997.39,2987.12,2915.09,2910115.25,69.32,2.38,2912.934,2899.044,2891.562,2077749.17,2096264.29,2033378.93
2019/6/21,2990.37,3010.35,3001.98,2989.25,2869738.25,14.86,0.5,2936.936,2916.462,2899.035,2220825.22,2206173.7,2078195.69
2019/6/24,3004.29,3012.83,3008.15,2994.42,2104939,6.17,0.21,2961.042,2932.064,2906.793,2333883.1,2250081.69,2099839.89
2019/6/25,3004.91,3004.91,2982.07,2948.99,2436992.5,-26.08,-0.87,2979.424,2937.699,2911.277,2525870.95,2233255.14,2123329.07
2019/6/26,2964.62,2986.91,2976.28,2958.46,1744495.38,-5.79,-0.19,2991.12,2944.389,2914.596,2413256.08,2167448.9,2098898.56
2019/6/27,2982.61,3011.54,2996.79,2981.05,1953970.5,20.51,0.69,2993.054,2952.994,2918.7,2222027.13,2149888.15,2097117.68
2019/6/28,2992.24,2992.24,2978.88,2961.22,1814315.25,-17.91,-0.6,2988.434,2962.685,2922.354,2010942.53,2115883.88,2084954.04
2019/7/1,3024.62,3045.37,3044.9,3014.69,2508404.25,66.02,2.22,2995.784,2978.413,2929.664,2091635.58,2212759.34,2112758.97
2019/7/2,3042.58,3048.48,3043.94,3033.78,2145206.25,-0.96,-0.03,3008.158,2993.791,2937.357,2033278.33,2279574.64,2112047.51
2019/7/3,3031.83,3031.83,3015.26,3006.32,2122961.75,-28.68,-0.94,3015.954,3003.537,2945.006,2108971.6,2261113.84,2123963.82
2019/7/4,3015.68,3024.5,3005.25,2991.91,1944151.38,-10.01,-0.33,3017.646,3005.35,2952.197,2107007.78,2164517.45,2130390.87
2019/7/5,3004.74,3014.85,3011.06,2990.92,1567554.25,5.81,0.19,3024.082,3006.258,2961.36,2057655.58,2034299.05,2120236.38
2019/7/8,2997.81,2997.81,2933.36,2918.72,2115412.75,-77.7,-2.58,3001.774,2998.779,2965.422,1979057.28,2035346.43,2142714.06
2019/7/9,2928.82,2937.76,2928.23,2912.81,1451106,-5.13,-0.17,2978.632,2993.395,2965.547,1840237.23,1936757.78,2085006.46
2019/7/10,2935.19,2936.75,2915.3,2908.16,1354835.38,-12.93,-0.44,2958.64,2987.297,2965.843,1686611.95,1897791.78,2032620.34
2019/7/11,2928.06,2945.8,2917.76,2907.89,1436925.25,2.46,0.08,2941.142,2979.394,2966.194,1585166.73,1846087.25,1997987.7
2019/7/12,2915.34,2938.53,2930.55,2905.81,1377947.62,12.79,0.44,2925.04,2974.561,2968.623,1547245.4,1802450.49,1959167.18
2019/7/15,2921.55,2955,2942.19,2886.7,1676434,11.64,0.4,2926.806,2964.29,2971.352,1459449.65,1719253.46,1966006.4
2019/7/16,2938.64,2944.82,2937.62,2931.29,1318117.5,-4.57,-0.15,2928.684,2953.658,2973.725,1432851.95,1636544.59,1958059.61
2019/7/17,2933.02,2942.07,2931.69,2924.46,1496316.12,-5.93,-0.2,2931.962,2945.301,2974.419,1461148.1,1573880.03,1917496.93
2019/7/18,2921.74,2921.74,2901.18,2901.18,1498888.25,-30.51,-1.04,2928.646,2934.894,2970.122,1473540.7,1529353.71,1846935.58
2019/7/19,2909.68,2939.6,2924.2,2909.68,1494695.5,23.02,0.79,2927.376,2926.208,2966.233,1496890.27,1522067.84,1778183.44
2019/7/22,2925.79,2927.16,2886.97,2879.69,1806749.62,-37.23,-1.27,2916.332,2921.569,2960.174,1522953.4,1491201.52,1763273.98
2019/7/23,2886.9,2901.36,2899.94,2883.05,1293105.12,12.97,0.45,2908.796,2918.74,2956.068,1517950.92,1475401.44,1706079.61
2019/7/24,2907.93,2936.45,2923.28,2907.79,1552457.62,23.34,0.81,2907.114,2919.538,2953.418,1529179.22,1495163.66,1696477.72
2019/7/25,2923.19,2937.36,2937.36,2916.15,1456843.88,14.08,0.48,2914.35,2921.498,2950.446,1520770.35,1497155.52,1671621.39
2019/7/26,2928.06,2948.33,2944.54,2924.45,1393433.88,7.18,0.24,2918.418,2922.897,2948.729,1500518.02,1498704.15,1650577.32
2019/7/29,2943.92,2948.47,2941.01,2932.98,1279918.5,-3.53,-0.12,2929.226,2922.779,2943.535,1395151.8,1459052.6,1589153.03
2019/7/30,2946.26,2965.63,2952.34,2946.26,1483164.62,11.33,0.39,2939.706,2924.251,2938.955,1433163.7,1475557.31,1556050.95
2019/7/31,2944.4,2944.4,2932.51,2926.49,1410523.5,-19.83,-0.67,2941.552,2924.333,2934.817,1404776.88,1466978.05,1520429.04
2019/8/1,2920.85,2927.34,2908.77,2901.75,1423898.12,-23.74,-0.81,2935.834,2925.092,2929.993,1398187.72,1459479.04,1494416.37
2019/8/2,2861.33,2872.47,2867.84,2851.44,1848884.38,-40.93,-1.41,2920.494,2919.456,2922.832,1489277.82,1494897.92,1508482.88
2019/8/5,2854.58,2863.69,2821.5,2821.5,1674194.25,-46.34,-1.62,2896.592,2912.909,2917.239,1568132.97,1481642.39,1486421.96
2019/8/6,2776.99,2787.42,2777.56,2733.92,2311237.25,-43.94,-1.56,2861.636,2900.671,2909.706,1733747.5,1583455.6,1529428.52
2019/8/7,2789.02,2792.69,2768.68,2768.68,1577167.5,-8.88,-0.32,2828.87,2885.211,2902.375,1767076.3,1585926.59,1540545.12
2019/8/8,2784.18,2799.69,2794.55,2782.24,1495395.62,25.87,0.93,2806.026,2870.93,2896.214,1781375.8,1589781.76,1543468.64
2019/8/9,2805.59,2808.33,2774.75,2770.48,1482402.88,-19.8,-0.71,2787.408,2853.951,2888.424,1708079.5,1598678.66,1548691.41
2019/8/12,2781.98,2814.99,2814.99,2776.62,1315634.38,40.24,1.45,2786.106,2841.349,2882.064,1636367.53,1602250.25,1530651.42
2019/8/13,2798.05,2802.04,2797.26,2790.61,1309165,-17.73,-0.63,2790.046,2825.841,2875.046,1435953.08,1584850.29,1530203.8
2019/8/14,2824.49,2829.89,2808.91,2807.72,1440146.38,11.65,0.42,2798.092,2813.481,2868.907,1408548.85,1587812.58,1527395.31
2019/8/15,2762.34,2815.9,2815.8,2756.83,1527721.5,6.89,0.24,2802.342,2804.184,2864.638,1415014.03,1598194.91,1528836.98
